,position,band,song,first_letter,year
287,213,THE BEATLES,ALL MY LOVING,B,1963
288,212,THE WHO,BEHIND BLUE EYES,W,1971
289,211,PEARL JAM,DAUGHTER,P,
290,210,PHIL COLLINS & PHILIP BAILEY,EASY LOVER,P,
291,209,BON JOVI,WANTED DEAD OR ALIVE,B,1987
292,208,THE ROLLING STONES,WILD HORSES,R,1971
293,207,EXTREME,MORE THAN WORDS,E,1991
294,206,QUEEN,TIE YOUR MOTHER DOWN,Q,1977
295,205,STEPPENWOLF,BORN TO BE WILD,S,1968
296,204,OZZY OSBOURNE,BARK AT THE MOON,O,1983
297,203,THE CULT,REVOLUTION,C,
298,202,KISS,STRUTTER,K,1974
299,201,AEROSMITH,CRYIN’,A,1993
300,200,PHIL COLLINS,IN THE AIR TONIGHT,P,
301,199,LED ZEPPELIN,D’YER MAK’ER,L,1973
302,198,DIRE STRAITS,SO FAR AWAY,D,1986
303,197,THE CULT,LOVE,C,
304,196,DIO,RAINBOW IN THE DARK,D,1983
305,195,JOURNEY,DON’T STOP BELIEVIN’,J,
306,194,QUEEN,KEEP YOURSELF ALIVE,Q,1973
307,193,GENESIS,MAMA,G,1983
308,192,AC/DC,IT’S A LONG WAY TO THE TOP (IF YOU WANNA ROCK N’ ROLL),A,
309,191,AEROSMITH,WALK THIS WAY,A,1976
310,190,THE ROLLING STONES,IT’S ONLY ROCK N’ ROLL (BUT I LIKE IT),R,
311,189,THE JIMI HENDRIX EXPERIENCE,HEY JOE,J,1966
312,188,PINK FLOYD,TAKE IT BACK,P,1994
313,187,QUEEN,I WANT IT ALL,Q,1989
314,186,THE CLASH,LONDON CALLING,C,1979
315,185,GEORGE THOROGOOD & THE DESTROYERS,BAD TO THE BONE,G,
316,184,JANIS JOPLIN,MERCEDES BENZ,J,1970
317,183,BON JOVI,YOU GIVE LOVE A BAD NAME,B,1986
318,182,RUSH,LIMELIGHT,R,1981
319,181,KANSAS,DUST IN THE WIND,K,1978
320,180,RED HOT CHILI PEPPERS,CALIFORNICATION,R,2000
321,179,GUNS N’ ROSES,NOVEMBER RAIN,G,
322,178,JOAN JETT & THE BLACKHEARTS,I LOVE ROCK N’ ROLL,J,
323,177,BLACK SABBATH,HEAVEN AND HELL,B,1980
324,176,FOO FIGHTERS,EVERLONG,F,1997
325,175,QUEEN,CRAZY LITTLE THING CALLED LOVE,Q,1979
326,174,DAVID BOWIE,CHINA GIRL,D,1977
327,173,THE BEATLES,OH! DARLING,B,1970
328,172,ZZ TOP,LA GRANGE,Z,1973
329,171,VAN HALEN,WHY CAN’T THIS BE LOVE,V,1986
330,170,RED HOT CHILI PEPPERS,GIVE IT AWAY,R,
331,169,ECHO & THE BUNNYMEN,THE KILLING MOON,E,
332,168,BON JOVI,IT’S MY LIFE,B,2000
333,167,PEARL JAM,EVEN FLOW,P,1992
334,166,JOE COCKER,YOU CAN LEAVE YOUR HAT ON,J,1972
335,165,THE WHO,I CAN’T EXPLAIN,W,1965
336,164,AEROSMITH,CRAZY,A,1994
337,163,QUEEN,ONE VISION,Q,1985
338,162,WHITESNAKE,IS THIS LOVE,W,1987
339,161,KISS,I LOVE IT LOUD,K,1982
340,160,LYNYRD SKYNYRD,THAT SMELL,L,1977
341,159,ZZ TOP,GIMME ALL YOUR LOVIN’,Z,1983
342,158,NIRVANA,COME AS YOU ARE,N,1992
343,157,KINGS OF LEON,USE SOMEBODY,K,2008
344,156,QUEEN,DON’T STOP ME NOW,Q,1979
345,155,AC/DC,YOU SHOOK ME ALL NIGHT LONG,A,1980
346,154,GRETA VAN FLEET,WHEN THE CURTAIN FALLS,G,2018
347,153,JOE COCKER,WITH A LITTLE HELP FROM MY FRIENDS,J,1967
348,152,IRON MAIDEN,WASTED YEARS,I,1986
349,151,GUNS N’ ROSES,DON’T CRY,G,
350,150,THE POLICE,ROXANNE,P,1978
351,149,AEROSMITH,HOLE IN MY SOUL,A,1997
352,148,VAN HALEN,RUNNIN’ WITH THE DEVIL,V,1978
353,147,THE BEATLES,HELTER SKELTER,B,1968
354,146,DAVID BOWIE,THE MAN WHO SOLD THE WORLD,D,1971
355,145,QUEENSRŸCHE,SILENT LUCIDITY,Q,
356,144,QUEEN,I WAS BORN TO LOVE YOU,Q,1985
357,143,OASIS,DON’T LOOK BACK IN ANGER,O,1996
358,142,INXS,NEW SENSATION,I,1988
359,141,OZZY OSBOURNE,NO MORE TEARS,O,1991
360,140,THE BEATLES,SHE LOVES YOU,B,1963
361,139,GUNS N’ ROSES,PARADISE CITY,G,
362,138,RAMONES,POISON HEART,R,1992
363,137,KINGS OF LEON,SEX ON FIRE,K,2008
364,136,DIRE STRAITS,WALK OF LIFE,D,1985
365,135,OASIS,WONDERWALL,O,1995
366,134,BLACK SABBATH,WAR PIGS,B,1970
367,133,THE JIMI HENDRIX EXPERIENCE,PURPLE HAZE,J,1967
368,132,THE BLACK CROWES,REMEDY,B,1992
369,131,WHITESNAKE,HERE I GO AGAIN ’87,W,
370,130,JANIS JOPLIN,CRY BABY,J,1963
371,129,FOO FIGHTERS,BEST OF YOU,F,2005
372,128,THE BEATLES,DON’T LET ME DOWN,B,1969
373,127,VAN HALEN,RIGHT NOW,V,1992
374,126,KISS,ROCK AND ROLL ALL NITE,K,1975
375,125,CHUCK BERRY,JOHNNY B. GOODE,C,1958
376,124,BLACK SABBATH,N.I.B.,B,
377,123,R.E.M.,LOSING MY RELIGION,R,1991
378,122,ERIC CLAPTON,BAD LOVE,E,1990
379,121,JOY DIVISION,LOVE WILL TEAR US APART,J,1980
380,120,THE JIMI HENDRIX,ALL ALONG THE WATCHTOWER,J,1968
381,119,THE WHO,PINBALL WIZARD,W,1969
382,118,INXS,NEVER TEAR US APART,I,1988
383,117,MIDNIGHT OIL,BLUE SKY MINE,M,1990
384,116,DEEP PURPLE,SPACE TRUCKIN’,D,1972
385,115,BOB DYLAN,LIKE A ROLLING STONE,B,1965
386,114,ALICE IN CHAINS,MAN IN THE BOX,A,1991
387,113,THE ROLLING STONES,BROWN SUGAR,R,1971
388,112,RUSH,THE SPIRIT OF RADIO,R,1980
389,111,FOO FIGHTERS,TIMES LIKE THESE,F,2003
390,110,RAMONES,PET SEMATARY,R,1989
391,109,THE POLICE,MESSAGE IN A BOTTLE,P,1979
392,108,MEN AT WORK,DOWN UNDER,M,1981
393,107,GUNS N’ ROSES,PATIENCE,G,
394,106,JANIS JOPLIN,PIECE OF MY HEART,J,1967
395,105,THE BEATLES,GET BACK,B,1969
396,104,STONE TEMPLE PILOTS,PLUSH,S,1993
397,103,THE JIMI HENDRIX EXPERIENCE,FOXEY LADY,J,1967
398,102,U2,PRIDE (IN THE NAME OF LOVE),U,
399,101,IGGY POP FEAT. KATE PIERSON,CANDY,I,
400,100,LED ZEPPELIN,FOOL IN THE RAIN,L,1979
401,99,THE ROLLING STONES,START ME UP,R,1981
402,98,LYNYRD SKYNYRD,SWEET HOME ALABAMA,L,1974
403,97,AC/DC,DIRTY DEEDS DONE DIRT CHEAP,A,1976
404,96,WHITESNAKE,LOVE AIN’T NO STRANGER,W,1984
405,95,THE BEATLES,HERE COMES THE SUN,B,1969
406,94,DAVID BOWIE,ZIGGY STARDUST,D,1990
407,93,RAMONES,I WANNA BE SEDATED,R,1978
408,92,QUEEN,RADIO GA GA,Q,1984
409,91,PEARL JAM,JEREMY,P,1992
410,90,JUDAS PRIEST,LIVING AFTER MIDNIGHT,J,1980
411,89,THE DOORS,ROADHOUSE BLUES,D,1970
412,88,THE WHO,MY GENERATION,W,1965
413,87,LED ZEPPELIN,GOOD TIMES BAD TIMES,L,1969
414,86,THE JIMI HENDRIX EXPERIENCE,CROSSTOWN TRAFFIC,J,1968
415,85,DEEP PURPLE,BURN,D,1974
416,84,QUEEN,I WANT TO BREAK FREE,Q,1984
417,83,THE CURE,FRIDAY I’M IN LOVE,C,1992
418,82,GUNS N’ ROSES,SWEET CHILD O’ MINE,G,
419,81,YES,OWNER OF A LONELY HEART,Y,1983
420,80,VAN HALEN,AIN’T TALKIN’ ‘BOUT LOVE,V,
421,79,OZZY OSBOURNE,MAMA I’M COMING HOME,O,1992
422,78,KANSAS,CARRY ON WAYWARD SON,K,1976
423,77,THE DOORS,BREAK ON THROUGH (TO THE OTHER SIDE),D,
424,76,GRETA VAN FLEET,HIGHWAY TUNE,G,2017
425,75,THE WHO,WHO ARE YOU?,W,
426,74,LED ZEPPELIN,WHOLE LOTTA LOVE,L,1969
427,73,ERIC CLAPTON,COCAINE,E,1977
428,72,MORRISSEY,SUEDEHEAD,M,1988
429,71,THE CULT,FIRE WOMAN,C,1989
430,70,BON JOVI,LIVIN’ ON A PRAYER,B,1986
431,69,THE CURE,IN BETWEEN DAYS,C,1985
432,68,THE POLICE,EVERY BREATH YOU TAKE,P,1983
433,67,MIDNIGHT OIL,BEDS ARE BURNING,M,1987
434,66,JUDAS PRIEST,BREAKING THE LAW,J,1980
435,65,PINK FLOYD,MOTHER,P,1979
436,64,QUEEN,ANOTHER ONE BITES THE DUST,Q,1980
437,63,RAMONES,BLITZKRIEG BOP,R,1976
438,62,THE ROLLING STONES,(I CAN’T GET NO) SATISFACTION,R,1965
439,61,U2,BAD,U,1984
440,60,GUNS N’ ROSES,WELCOME TO THE JUNGLE,G,
441,59,DIRE STRAITS,SULTANS OF SWING,D,1978
442,58,LED ZEPPELIN,BLACK DOG,L,1971
443,57,VAN HALEN,PANAMA,V,1984
444,56,THE BEATLES,HELP!,B,1965
445,55,NIRVANA,SMELLS LIKE TEEN SPIRIT,N,1991
446,54,PINK FLOYD,WISH YOU WERE HERE,P,1975
447,53,CREEDENCE CLEARWATER REVIVAL,HAVE YOU EVER SEEN THE RAIN,C,1971
448,52,EAGLES,HOTEL CALIFORNIA,E,1977
449,51,DIO,HOLY DIVER,D,1983
450,50,QUEEN & DAVID BOWIE,UNDER PRESSURE,Q,
451,49,LYNYRD SKYNYRD,SIMPLE MAN,L,1973
452,48,AC/DC,T.N.T.,A,
453,47,THE CULT,SHE SELLS SANCTUARY,C,1985
454,46,MOTÖRHEAD,ACE OF SPADES,M,
455,45,AC/DC,JAILBREAK,A,
456,44,VAN HALEN,JUMP,V,1983
457,43,METALLICA,THE UNFORGIVEN,M,1991
458,42,LED ZEPPELIN,IMMIGRANT SONG,L,1970
459,41,OZZY OSBOURNE,CRAZY TRAIN,O,1980
460,40,RAINBOW,LONG LIVE ROCK N’ ROLL,R,
461,39,DEEP PURPLE,HIGHWAY STAR,D,1972
462,38,QUEEN,LOVE OF MY LIFE,Q,1975
463,37,PEARL JAM,ALIVE,P,
464,36,U2,SUNDAY BLOODY SUNDAY,U,1983
465,35,BLACK SABBATH,IRON MAN,B,1971
