,position,band,song,first_letter,year,decade
143,357,RADIOHEAD,CREEP,R,1992,1990s
144,356,OASIS,LIVE FOREVER,O,1994,1990s
145,355,THE SISTERS OF MERCY,LUCRETIA MY REFLECTION,S,1988,1980s
146,354,NIRVANA,IN BLOOM,N,1992,1990s
147,353,JOEY RAMONE,WHAT A WONDERFUL WORLD,J,1967,1960s
148,352,LINKIN PARK,IN THE END,L,2001,2000s
149,351,PEARL JAM,SOLDIER OF LOVE,P,2000,2000s
150,350,JET,ARE YOU GONNA BE MY GIRL,J,2004,2000s
151,349,THE OFFSPRING,PRETTY FLY (FOR A WHITE GUY),O,1998,1990s
152,348,VAN HALEN,CAN'T STOP LOVIN' YOU,V,1995,1990s
153,347,BRUCE SPRINGSTEEN,BORN IN THE USA,B,1984,1980s
154,346,LENNY KRAVITZ,AMERICAN WOMAN,L,1970,1970s
155,345,ARCTIC MONKEYS,R U MINE?,A,2012,2010s
156,344,BRUCE DICKINSON,TEARS OF THE DRAGON,B,1994,1990s
157,343,U2,NEW YEAR'S DAY,U,1983,1980s
158,342,VAN HALEN,UNCHAINED,V,1981,1980s
159,341,SOUNDGARDEN,BLACK HOLE SUN,S,1994,1990s
160,340,THE SMITHS,ASK,S,1986,1980s
161,339,RED HOT CHILI PEPPERS,BY THE WAY,R,2002,2000s
162,338,VAN HALEN,HOT FOR TEACHER,V,1984,1980s
163,337,ROBERT PLANT,29 PALMS,R,1993,1990s
164,336,THE CLASH,SHOULD I STAY OR SHOULD I GO,C,1982,1980s
165,335,ALICE COOPER,NO MORE MR. NICE GUY,A,1973,1970s
166,334,KISS,SHOUT IT OUT LOUD,K,1976,1970s
167,333,GUNS N' ROSES,CIVIL WAR,G,1993,1990s
168,332,AEROSMITH,JADED,A,2000,2000s
169,331,DEREK AND THE DOMINOS,LAYLA,D,1971,1970s
170,330,AUDIOSLAVE,BE YOURSELF,A,2005,2000s
171,329,IRON MAIDEN,HEAVEN CAN WAIT,I,1986,1980s
172,328,SCORPIONS,STILL LOVING YOU,S,1984,1980s
173,327,THE SISTERS OF MERCY,MORE,S,1990,1990s
174,326,THE SMITHS,HOW SOON IS NOW,S,1985,1980s
175,325,THE ROLLING STONES,YOU CAN'T ALWAYS GET WHAT YOU WANT,R,1969,1960s
176,324,ALICE IN CHAINS,WOULD?,A,1992,1990s
177,323,DEEP PURPLE,SOMETIMES I FEEL LIKE SCREAMING,D,1996,1990s
178,322,YES,ROUNDABOUT,Y,1972,1970s
179,321,PETER FRAMPTON,BREAKING ALL THE RULES,P,1981,1980s
180,320,THE WHO,WON'T GET FOOLED AGAIN,W,1971,1970s
181,319,RED HOT CHILI PEPPERS,DANI CALIFORNIA,R,2006,2000s
182,318,VAN HALEN,WHEN IT'S LOVE,V,1988,1980s
183,317,FAITH NO MORE,EPIC,F,1990,1990s
184,316,PINK FLOYD,HIGH HOPES,P,1994,1990s
185,315,ARC ANGELS,SENT BY ANGELS,A,1992,1990s
186,314,JON BON JOVI,BLAZE OF GLORY,J,1990,1990s
187,313,THE PRETENDERS,MIDDLE OF THE ROAD,P,1983,1980s
188,312,TOM PETTY,AMERICAN GIRL,T,1985,1980s
189,311,THE SMITHS,THERE IS A LIGHT THAT NEVER GOES OUT,S,1992,1990s
190,310,OASIS,CHAMPAGNE SUPERNOVA,O,1996,1990s
191,309,SCORPIONS,ROCK YOU LIKE A HURRICANE,S,1984,1980s
192,308,THE CULT,PAINTED ON MY HEART,C,2000,2000s
193,307,THE CURE,JUST LIKE HEAVEN,C,1987,1980s
194,306,RUSH,TIME STAND STILL,R,1987,1980s
195,305,AEROSMITH,AMAZING,A,1993,1990s
196,304,THE ANIMALS,THE HOUSE OF THE RISING SUN,A,1964,1960s
197,303,AEROSMITH,JANIE'S GOT A GUN,A,1989,1980s
198,302,RAGE AGAINST THE MACHINE,KILLING IN THE NAME,R,1992,1990s
199,301,THE BEATLES,BACK IN THE U.S.S.R,B,1968,1960s
200,300,THE ROLLING STONES,MISS YOU,R,1978,1970s
201,299,DAVID BOWIE,BLUE JEAN,D,1984,1980s
202,298,BAD RELIGION,AMERICAN JESUS,B,1993,1990s
203,297,DEF LEPPARD,POUR SOME SUGAR ON ME,D,2012,2010s
204,296,DEPECHE MODE,ENJOY THE SILENCE,D,1990,1990s
205,295,EUROPE,THE FINAL COUNTDOWN,E,1986,1980s
206,294,FOO FIGHTERS,MY HERO,F,1998,1990s
207,293,VAN HALEN,LOVE WALKS IN,V,1986,1980s
208,292,DURAN DURAN,SAVE A PRAYER,D,1982,1980s
209,291,THE ROLLING STONES,SYMPATHY FOR THE DEVIL,R,1968,1960s
210,290,THE DOOBIE BROTHERS,LONG TRAIN RUNNIN',D,1973,1970s
211,289,INXS,BY MY SIDE,I,1990,1990s
212,288,SIMPLE MINDS,DON'T YOU (FORGET ABOUT ME),S,1985,1980s
213,287,THE CULT,EDIE (CIAO BABY),C,1989,1980s
214,286,SEX PISTOLS,ANARCHY IN THE U.K.,S,1976,1970s
215,285,THE CURE,BOYS DON'T CRY,C,1979,1970s
216,284,DIRE STRAITS,MONEY FOR NOTHING,D,1985,1980s
217,283,FAITH NO MORE,FALLING TO PIECES,F,1990,1990s
218,282,THE BEACH BOYS,SURFIN' U.S.A.,B,1963,1960s
219,281,RAMONES,SHEENA IS A PUNK ROCKER,R,1977,1970s
220,280,THE OUTFIELD,YOUR LOVE,O,1986,1980s
221,279,GENESIS,I CAN'T DANCE,G,1991,1990s
222,278,BLUE ÖYSTER CULT,DON'T FEAR THE REAPER,B,1976,1970s
223,277,LENNY KRAVITZ,AGAIN,L,2000,2000s
224,276,THE KILLERS,SOMEBODY TOLD ME,K,2004,2000s
225,275,DAVID BOWIE,REBEL REBEL,D,1974,1970s
226,274,DAVID COVERDALE,THE LAST NOTE OF FREEDOM,D,1990,1990s
227,273,KISS,I WAS MADE FOR LOVIN' YOU,K,1979,1970s
228,272,MEGADETH,SYMPHONY OF DESTRUCTION,M,1992,1990s
229,271,RED HOT CHILI PEPPERS,SCAR TISSUE,R,1999,1990s
230,270,THE BEATLES,COME TOGETHER,B,1969,1960s
231,269,FOO FIGHTERS,LEARN TO FLY,F,1999,1990s
232,268,QUEEN,FAT BOTTOMED GIRLS,Q,1978,1970s
233,267,U2,WITH OR WITHOUT YOU,U,1987,1980s
234,266,OASIS,STOP CRYING YOUR HEART OUT,O,2002,2000s
235,265,MEN AT WORK,IT'S A MISTAKE,M,1983,1980s
236,264,LIVING COLOUR,CULT OF PERSONALITY,L,1988,1980s
237,263,RAINBOW,MAN ON THE SILVER MOUNTAIN,R,1975,1970s
238,262,AUDIOSLAVE,LIKE A STONE,A,2003,2000s
239,261,U2,WHERE THE STREETS HAVE NO NAME,U,1987,1980s
240,260,FAITH NO MORE,EASY,F,1992,1990s
241,259,ELVIS PRESLEY,A LITTLE LESS CONVERSATION,E,1968,1960s
242,258,THE POLICE,CAN'T STAND LOSING YOU,P,1979,1970s
243,257,GENESIS,THROWING IT ALL AWAY,G,1987,1980s
244,256,DAVID BOWIE,THE JEAN GENIE,D,1972,1970s
245,255,ALICE COOPER,BILLION DOLLAR BABIES,A,1973,1970s
246,254,LENNY KRAVITZ,FLY AWAY,L,1998,1990s
247,253,THE OFFSPRING,THE KIDS AREN'T ALRIGHT,O,1999,1990s
248,252,CREEDENCE CLEARWATER REVIVAL,HEY TONIGHT,C,1971,1970s
249,251,VELVET REVOLVER,FALL TO PIECES,V,2004,2000s
250,250,ERIC CLAPTON,I SHOT THE SHERIFF,E,1973,1970s
251,249,DEEP PURPLE,BLACK NIGHT,D,1970,1970s
252,248,BAD COMPANY,BAD COMPANY,B,1974,1970s
253,247,DAVID BOWIE,LET'S DANCE,D,1983,1980s
254,246,BACHMAN-TURNER OVERDRIVE,HOLD BACK THE WATER,B,1973,1970s
255,245,QUEEN,A KIND OF MAGIC,Q,1986,1980s
256,244,THE POLICE,KING OF PAIN,P,1983,1980s
257,243,MEN AT WORK,WHO CAN IT BE NOW?,M,1982,1980s
258,242,KISS,FOREVER,K,1990,1990s
259,241,JOURNEY,SEPARATE WAYS (WORLDS APART),J,1983,1980s
260,240,IRON MAIDEN,CAN I PLAY WITH MADNESS,I,1988,1980s
261,239,ERIC CLAPTON,FOREVER MAN,E,1985,1980s
262,238,TOM PETTY,FREE FALLIN',T,1989,1980s
263,237,THE KILLERS,MR. BRIGHTSIDE,K,2003,2000s
264,236,THE CULT,SWEET SOUL SISTER,C,1990,1990s
265,235,GREEN DAY,BASKET CASE,G,1994,1990s
266,234,JUDAS PRIEST,TURBO LOVER,J,1986,1980s
267,233,GRETA VAN FLEET,SAFARI SONG,G,2017,2010s
268,232,KISS,DEUCE,K,1974,1970s
269,231,THE DOOBIE BROTHERS,LISTEN TO THE MUSIC,D,1972,1970s
270,230,4 NON BLONDES,WHAT'S UP?,4,1993,1990s
271,229,GUNS N' ROSES,KNOCKIN' ON HEAVEN'S DOOR,G,1973,1970s
272,228,CREEDENCE CLEARWATER REVIVAL,FORTUNATE SON,C,1969,1960s
273,227,BON JOVI,RUNAWAY,B,1984,1980s
274,226,DAVID BOWIE,STARMAN,D,1972,1970s
275,225,SCORPIONS,WIND OF CHANGE,S,1991,1990s
276,224,GRAND FUNK RAILROAD,WE'RE AN AMERICAN BAND,G,1973,1970s
277,223,THE POLICE,EVERY LITTLE THING SHE DOES IS MAGIC,P,1981,1980s
278,222,THIN LIZZY,THE BOYS ARE BACK IN TOWN,T,1991,1990s
279,221,RUSH,CLOSER TO THE HEART,R,1977,1970s
280,220,GUNS N' ROSES,YOU COULD BE MINE,G,1991,1990s
281,219,THE DOORS,LOVE ME TWO TIMES,D,1967,1960s
282,218,AEROSMITH,FLY AWAY FROM HERE,A,2001,2000s
283,217,THE POLICE,DON'T STAND SO CLOSE TO ME,P,1980,1980s
284,216,LIVE,PAIN LIES ON THE RIVERSIDE,L,1991,1990s
285,215,KISS,LOVE GUN,K,1977,1970s
286,214,ECHO & THE BUNNYMEN,BRING ON THE DANCING HORSES,E,1985,1980s
287,213,THE BEATLES,ALL MY LOVING,B,1963,1960s
288,212,THE WHO,BEHIND BLUE EYES,W,1971,1970s
289,211,PEARL JAM,DAUGHTER,P,1993,1990s
290,210,PHIL COLLINS & PHILIP BAILEY,EASY LOVER,P,1985,1980s
291,209,BON JOVI,WANTED DEAD OR ALIVE,B,1987,1980s
292,208,THE ROLLING STONES,WILD HORSES,R,1971,1970s
293,207,EXTREME,MORE THAN WORDS,E,1991,1990s
294,206,QUEEN,TIE YOUR MOTHER DOWN,Q,1977,1970s
295,205,STEPPENWOLF,BORN TO BE WILD,S,1968,1960s
296,204,OZZY OSBOURNE,BARK AT THE MOON,O,1983,1980s
297,203,THE CULT,REVOLUTION,C,1985,1980s
298,202,KISS,STRUTTER,K,1974,1970s
299,201,AEROSMITH,CRYIN',A,1993,1990s
300,200,PHIL COLLINS,IN THE AIR TONIGHT,P,1981,1980s
301,199,LED ZEPPELIN,D'YER MAK'ER,L,1973,1970s
302,198,DIRE STRAITS,SO FAR AWAY,D,1986,1980s
303,197,THE CULT,LOVE,C,1985,1980s
304,196,DIO,RAINBOW IN THE DARK,D,1983,1980s
305,195,JOURNEY,DON'T STOP BELIEVIN',J,1981,1980s
306,194,QUEEN,KEEP YOURSELF ALIVE,Q,1973,1970s
307,193,GENESIS,MAMA,G,1983,1980s
308,192,AC/DC,IT'S A LONG WAY TO THE TOP (IF YOU WANNA ROCK N' ROLL),A,1975,1970s
309,191,AEROSMITH,WALK THIS WAY,A,1976,1970s
310,190,THE ROLLING STONES,IT'S ONLY ROCK 'N ROLL (BUT I LIKE IT),R,1974,1970s
311,189,THE JIMI HENDRIX EXPERIENCE,HEY JOE,J,1966,1960s
312,188,PINK FLOYD,TAKE IT BACK,P,1994,1990s
313,187,QUEEN,I WANT IT ALL,Q,1989,1980s
314,186,THE CLASH,LONDON CALLING,C,1979,1970s
315,185,GEORGE THOROGOOD & THE DESTROYERS,BAD TO THE BONE,G,1982,1980s
316,184,JANIS JOPLIN,MERCEDES BENZ,J,1970,1970s
317,183,BON JOVI,YOU GIVE LOVE A BAD NAME,B,1986,1980s
318,182,RUSH,LIMELIGHT,R,1981,1980s
319,181,KANSAS,DUST IN THE WIND,K,1978,1970s
320,180,RED HOT CHILI PEPPERS,CALIFORNICATION,R,2000,2000s
321,179,GUNS N' ROSES,NOVEMBER RAIN,G,1992,1990s
322,178,JOAN JETT & THE BLACKHEARTS,I LOVE ROCK N' ROLL,J,1975,1970s
323,177,BLACK SABBATH,HEAVEN AND HELL,B,1980,1980s
324,176,FOO FIGHTERS,EVERLONG,F,1997,1990s
325,175,QUEEN,CRAZY LITTLE THING CALLED LOVE,Q,1979,1970s
326,174,DAVID BOWIE,CHINA GIRL,D,1977,1970s
327,173,THE BEATLES,OH! DARLING,B,1970,1970s
328,172,ZZ TOP,LA GRANGE,Z,1973,1970s
329,171,VAN HALEN,WHY CAN'T THIS BE LOVE,V,1986,1980s
330,170,RED HOT CHILI PEPPERS,GIVE IT AWAY,R,1991,1990s
331,169,ECHO & THE BUNNYMEN,THE KILLING MOON,E,1984,1980s
332,168,BON JOVI,IT'S MY LIFE,B,2000,2000s
333,167,PEARL JAM,EVEN FLOW,P,1992,1990s
334,166,JOE COCKER,YOU CAN LEAVE YOUR HAT ON,J,1972,1970s
335,165,THE WHO,I CAN'T EXPLAIN,W,1965,1960s
336,164,AEROSMITH,CRAZY,A,1994,1990s
337,163,QUEEN,ONE VISION,Q,1985,1980s
338,162,WHITESNAKE,IS THIS LOVE,W,1987,1980s
339,161,KISS,I LOVE IT LOUD,K,1982,1980s
340,160,LYNYRD SKYNYRD,THAT SMELL,L,1977,1970s
341,159,ZZ TOP,GIMME ALL YOUR LOVIN',Z,1983,1980s
342,158,NIRVANA,COME AS YOU ARE,N,1992,1990s
343,157,KINGS OF LEON,USE SOMEBODY,K,2008,2000s
344,156,QUEEN,DON'T STOP ME NOW,Q,1979,1970s
345,155,AC/DC,YOU SHOOK ME ALL NIGHT LONG,A,1980,1980s
346,154,GRETA VAN FLEET,WHEN THE CURTAIN FALLS,G,2018,2010s
347,153,JOE COCKER,WITH A LITTLE HELP FROM MY FRIENDS,J,1967,1960s
348,152,IRON MAIDEN,WASTED YEARS,I,1986,1980s
349,151,GUNS N' ROSES,DON'T CRY,G,1991,1990s
350,150,THE POLICE,ROXANNE,P,1978,1970s
351,149,AEROSMITH,HOLE IN MY SOUL,A,1997,1990s
352,148,VAN HALEN,RUNNIN' WITH THE DEVIL,V,1978,1970s
353,147,THE BEATLES,HELTER SKELTER,B,1968,1960s
354,146,DAVID BOWIE,THE MAN WHO SOLD THE WORLD,D,1971,1970s
355,145,QUEENSRŸCHE,SILENT LUCIDITY,Q,1991,1990s
356,144,QUEEN,I WAS BORN TO LOVE YOU,Q,1985,1980s
357,143,OASIS,DON'T LOOK BACK IN ANGER,O,1996,1990s
358,142,INXS,NEW SENSATION,I,1988,1980s
359,141,OZZY OSBOURNE,NO MORE TEARS,O,1991,1990s
360,140,THE BEATLES,SHE LOVES YOU,B,1963,1960s
361,139,GUNS N' ROSES,PARADISE CITY,G,1989,1980s
362,138,RAMONES,POISON HEART,R,1992,1990s
363,137,KINGS OF LEON,SEX ON FIRE,K,2008,2000s
364,136,DIRE STRAITS,WALK OF LIFE,D,1985,1980s
365,135,OASIS,WONDERWALL,O,1995,1990s
366,134,BLACK SABBATH,WAR PIGS,B,1970,1970s
367,133,THE JIMI HENDRIX EXPERIENCE,PURPLE HAZE,J,1967,1960s
368,132,THE BLACK CROWES,REMEDY,B,1992,1990s
369,131,WHITESNAKE,HERE I GO AGAIN,W,1982,1980s
370,130,JANIS JOPLIN,CRY BABY,J,1963,1960s
371,129,FOO FIGHTERS,BEST OF YOU,F,2005,2000s
372,128,THE BEATLES,DON'T LET ME DOWN,B,1969,1960s
373,127,VAN HALEN,RIGHT NOW,V,1992,1990s
374,126,KISS,ROCK AND ROLL ALL NITE,K,1975,1970s
375,125,CHUCK BERRY,JOHNNY B. GOODE,C,1958,1950s
376,124,BLACK SABBATH,N.I.B.,B,1970,1970s
377,123,R.E.M.,LOSING MY RELIGION,R,1991,1990s
378,122,ERIC CLAPTON,BAD LOVE,E,1990,1990s
379,121,JOY DIVISION,LOVE WILL TEAR US APART,J,1980,1980s
380,120,THE JIMI HENDRIX,ALL ALONG THE WATCHTOWER,J,1968,1960s
381,119,THE WHO,PINBALL WIZARD,W,1969,1960s
382,118,INXS,NEVER TEAR US APART,I,1988,1980s
383,117,MIDNIGHT OIL,BLUE SKY MINE,M,1990,1990s
384,116,DEEP PURPLE,SPACE TRUCKIN',D,1972,1970s
385,115,BOB DYLAN,LIKE A ROLLING STONE,B,1965,1960s
386,114,ALICE IN CHAINS,MAN IN THE BOX,A,1991,1990s
387,113,THE ROLLING STONES,BROWN SUGAR,R,1971,1970s
388,112,RUSH,THE SPIRIT OF RADIO,R,1980,1980s
389,111,FOO FIGHTERS,TIMES LIKE THESE,F,2003,2000s
390,110,RAMONES,PET SEMATARY,R,1989,1980s
391,109,THE POLICE,MESSAGE IN A BOTTLE,P,1979,1970s
392,108,MEN AT WORK,DOWN UNDER,M,1981,1980s
393,107,GUNS N' ROSES,PATIENCE,G,1989,1980s
394,106,JANIS JOPLIN,PIECE OF MY HEART,J,1967,1960s
395,105,THE BEATLES,GET BACK,B,1969,1960s
396,104,STONE TEMPLE PILOTS,PLUSH,S,1993,1990s
397,103,THE JIMI HENDRIX EXPERIENCE,FOXEY LADY,J,1967,1960s
398,102,U2,PRIDE (IN THE NAME OF LOVE),U,1984,1980s
399,101,IGGY POP,CANDY,I,1990,1990s
400,100,LED ZEPPELIN,FOOL IN THE RAIN,L,1979,1970s
401,99,THE ROLLING STONES,START ME UP,R,1981,1980s
402,98,LYNYRD SKYNYRD,SWEET HOME ALABAMA,L,1974,1970s
403,97,AC/DC,DIRTY DEEDS DONE DIRT CHEAP,A,1976,1970s
404,96,WHITESNAKE,LOVE AIN'T NO STRANGER,W,1984,1980s
405,95,THE BEATLES,HERE COMES THE SUN,B,1969,1960s
406,94,DAVID BOWIE,ZIGGY STARDUST,D,1990,1990s
